Rk;G;Date;Age;Tm;Home_Away;Opp;Win_Loss;GS;MP;FG;FGA;FGpct;3P;3PA;3Ppct;FT;FTA;FTpct;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;plus_moins
2;2;30/10/2002;24-068;LAL;@;POR;L (-12);1;37:00:00;9;18;.500;3;7;.429;4;4;1.000;1;9;10;2;2;2;3;3;25;20.0;10
3;3;01/11/2002;24-070;LAL;@;LAC;W (+15);1;41:00:00;12;18;.667;1;2;.500;8;8;1.000;5;10;15;12;2;1;4;3;33;37.6;7
4;4;03/11/2002;24-072;LAL;;POR;W (+3);1;50:00:00;11;19;.579;2;6;.333;9;11;.818;5;9;14;12;1;0;4;5;33;32.9;-15
5;5;05/11/2002;24-074;LAL;@;CLE;L (-19);1;41:00:00;5;13;.385;1;1;1.000;4;4;1.000;3;10;13;9;2;0;5;2;15;15.5;-3
6;6;07/11/2002;24-076;LAL;@;BOS;L (-3);1;46:00:00;17;47;.362;0;8;.000;7;7;1.000;2;7;9;4;4;0;5;3;41;19.0;-7
7;7;08/11/2002;24-077;LAL;@;WAS;L (-1);1;38:00:00;8;21;.381;0;0;;11;11;1.000;1;5;6;4;0;2;2;5;27;17.9;-8
8;8;12/11/2002;24-081;LAL;;ATL;L (-12);1;45:00:00;8;22;.364;0;2;.000;5;7;.714;4;2;6;8;4;1;2;2;21;18.9;6
9;9;15/11/2002;24-084;LAL;;GSW;W (+7);1;46:00:00;18;40;.450;1;3;.333;8;10;.800;0;4;4;4;3;1;1;3;45;28.9;5
10;10;17/11/2002;24-086;LAL;;HOU;L (-4);1;45:00:00;18;37;.486;1;2;.500;9;11;.818;0;6;6;4;0;1;3;3;46;27.6;-21
11;11;19/11/2002;24-088;LAL;@;DAL;L (-26);1;33:00:00;7;21;.333;0;1;.000;2;4;.500;1;4;5;3;3;0;5;2;16;4.5;-2
12;12;20/11/2002;24-089;LAL;@;SAS;L (-7);1;43:00:00;8;25;.320;0;2;.000;8;12;.667;1;7;8;7;4;1;1;1;24;19.1;16
13;13;22/11/2002;24-091;LAL;;CHI;W (+13);1;39:00:00;7;14;.500;1;3;.333;6;11;.545;2;8;10;7;5;1;6;1;21;20.0;10
14;14;24/11/2002;24-093;LAL;;MIL;W (+12);1;44:00:00;6;15;.400;0;3;.000;3;3;1.000;2;9;11;11;1;0;2;3;15;16.5;-3
15;15;26/11/2002;24-095;LAL;@;MIA;L (-12);1;32:00:00;8;14;.571;1;4;.250;4;7;.571;1;6;7;4;3;0;2;3;21;18.3;-12
16;16;27/11/2002;24-096;LAL;@;ORL;L (-10);1;46:00:00;14;31;.452;0;0;;10;13;.769;2;8;10;4;1;2;3;5;38;24.7;8
17;17;29/11/2002;24-098;LAL;@;MEM;W (+6);1;48:00:00;18;35;.514;2;4;.500;7;9;.778;1;5;6;5;2;0;5;0;45;29.6;-2
18;18;01/12/2002;24-100;LAL;;MIN;L (-3);1;41:00:00;9;15;.600;1;3;.333;3;5;.600;2;3;5;11;0;1;5;1;22;19.6;14
19;19;03/12/2002;24-102;LAL;;MEM;W (+10);1;41:00:00;11;16;.688;1;2;.500;1;1;1.000;2;8;10;11;1;3;3;1;24;28.4;-12
20;20;04/12/2002;24-103;LAL;@;UTA;L (-8);1;41:00:00;5;14;.357;0;2;.000;7;7;1.000;1;4;5;5;3;0;5;1;17;12.2;-2
21;21;06/12/2002;24-105;LAL;;DAL;W (+2);1;42:00:00;10;19;.526;1;2;.500;6;6;1.000;1;8;9;7;1;1;6;3;27;20.2;6
22;22;08/12/2002;24-107;LAL;;UTA;W (+9);1;39:00:00;9;18;.500;0;1;.000;7;9;.778;0;4;4;14;5;0;5;4;25;24.6;1
23;23;10/12/2002;24-109;LAL;@;GSW;L (-4);1;42:00:00;6;12;.500;1;1;1.000;6;7;.857;0;5;5;14;3;0;5;5;19;19.9;-14
24;24;13/12/2002;24-112;LAL;;NOH;L (-16);1;43:00:00;6;16;.375;0;0;;4;6;.667;0;2;2;5;1;0;2;1;16;9.1;13
25;25;15/12/2002;24-114;LAL;;ORL;W (+23);1;34:00:00;6;15;.400;0;1;.000;9;9;1.000;1;5;6;8;0;2;8;3;21;12.9;-19
26;26;17/12/2002;24-116;LAL;@;MIN;L (-16);1;39:00:00;6;14;.429;0;0;;3;4;.750;2;5;7;6;1;1;2;3;15;12.8;-15
27;27;19/12/2002;24-118;LAL;@;NJN;L (-27);1;43:00:00;8;29;.276;0;1;.000;5;5;1.000;1;4;5;5;1;1;4;2;21;6.2;-4
28;28;20/12/2002;24-119;LAL;@;PHI;L (-3);1;52:00:00;16;35;.457;2;5;.400;10;10;1.000;0;4;4;10;1;2;5;4;44;29.9;4
29;29;22/12/2002;24-121;LAL;@;TOR;W (+2);1;46:00:00;12;25;.480;2;2;1.000;5;8;.625;0;2;2;5;2;1;5;3;31;17.7;-3
30;30;25/12/2002;24-124;LAL;;SAC;L (-6);1;46:00:00;7;24;.292;1;4;.250;12;15;.800;6;9;15;6;2;1;6;3;27;18.4;16
31;31;28/12/2002;24-127;LAL;@;DEN;W (+19);1;35:00:00;15;26;.577;2;4;.500;7;7;1.000;0;6;6;6;2;0;4;3;39;29.6;4
32;32;29/12/2002;24-128;LAL;;TOR;W (+16);1;35:00:00;5;15;.333;0;1;.000;3;3;1.000;1;8;9;12;2;1;3;3;13;14.5;-9
33;33;04/01/2003;24-134;LAL;@;PHO;L (-14);1;42:00:00;15;32;.469;0;8;.000;7;9;.778;0;7;7;7;4;2;2;3;37;29.0;14
34;34;05/01/2003;24-135;LAL;;PHO;W (+12);1;46:00:00;13;29;.448;1;5;.200;4;6;.667;3;9;12;7;2;1;1;1;31;26.1;19
35;35;07/01/2003;24-137;LAL;;SEA;W (+21);1;37:00:00;16;28;.571;12;18;.667;1;1;1.000;0;3;3;3;1;1;2;2;45;33.7;25
36;36;10/01/2003;24-140;LAL;;CLE;W (+16);1;34:00:00;7;12;.583;0;2;.000;7;10;.700;3;7;10;11;4;1;5;2;21;25.0;23
37;37;12/01/2003;24-142;LAL;;MIA;W (+25);1;38:00:00;12;21;.571;0;3;.000;12;13;.923;1;2;3;4;4;0;4;1;36;29.4;9
38;38;15/01/2003;24-145;LAL;@;NOH;W (+8);1;46:00:00;12;28;.429;2;3;.667;10;10;1.000;2;9;11;4;2;2;2;1;36;29.1;-8
39;39;17/01/2003;24-147;LAL;@;HOU;L (-4);1;49:00:00;5;21;.238;2;6;.333;10;12;.833;2;9;11;9;3;0;4;5;22;15.9;5
40;40;20/01/2003;24-150;LAL;;LAC;W (+4);1;45:00:00;8;18;.444;1;3;.333;9;9;1.000;0;8;8;11;3;2;4;2;26;26.3;-2
41;41;22/01/2003;24-152;LAL;;GSW;L (-4);1;39:00:00;9;17;.529;3;5;.600;2;3;.667;0;3;3;7;2;1;5;5;23;15.8;-9
42;42;24/01/2003;24-154;LAL;;NJN;L (-6);1;41:00:00;4;14;.286;1;2;.500;2;3;.667;4;3;7;5;2;0;1;1;11;10.2;4
43;43;29/01/2003;24-159;LAL;@;PHO;W (+9);1;46:00:00;15;29;.517;0;1;.000;10;11;.909;1;4;5;4;1;1;4;3;40;26.5;7
44;44;31/01/2003;24-161;LAL;@;SAC;W (+11);1;43:00:00;14;29;.483;3;6;.500;7;8;.875;1;4;5;5;1;1;4;3;38;24.8;12
45;45;01/02/2003;24-162;LAL;;UTA;W (+12);1;44:00:00;12;25;.480;2;3;.667;16;18;.889;0;3;3;4;3;1;2;1;42;33.5;3
46;46;04/02/2003;24-165;LAL;@;IND;W (+3);1;42:00:00;12;31;.387;1;5;.200;10;10;1.000;3;4;7;2;2;2;7;2;35;18.4;12
47;47;06/02/2003;24-167;LAL;@;NYK;W (+5);1;41:00:00;17;27;.630;4;4;1.000;8;11;.727;0;6;6;3;2;1;6;4;46;31.7;37
48;48;11/02/2003;24-172;LAL;;DEN;W (+28);1;31:00:00;12;20;.600;1;3;.333;17;21;.810;0;2;2;5;4;0;1;0;42;38.3;37
49;49;12/02/2003;24-173;LAL;@;DEN;W (+11);1;31:00:00;15;28;.536;3;8;.375;18;20;.900;0;3;3;2;2;0;0;1;51;40.5;-6
50;50;14/02/2003;24-175;LAL;;SAS;L (-8);1;45:00:00;19;41;.463;2;3;.667;4;6;.667;2;4;6;4;4;2;7;2;44;25.1;-7
51;51;16/02/2003;24-177;LAL;;NYK;L (-7);1;42:00:00;14;31;.452;3;5;.600;9;10;.900;1;3;4;5;2;0;3;4;40;26.0;13
52;52;18/02/2003;24-179;LAL;;HOU;W (+7);1;54:00:00;19;38;.500;3;9;.333;11;11;1.000;0;8;8;7;0;3;5;4;52;35.8;2
53;53;19/02/2003;24-180;LAL;@;UTA;W (+6);1;40:00:00;15;29;.517;4;6;.667;6;9;.667;1;5;6;1;1;0;3;2;40;24.6;7
54;54;21/02/2003;24-182;LAL;;POR;W (+8);1;42:00:00;15;32;.469;3;7;.429;7;9;.778;0;7;7;1;5;2;4;2;40;27.2;6
55;55;23/02/2003;24-184;LAL;;SEA;W (+5);1;42:00:00;13;34;.382;1;6;.167;14;16;.875;1;4;5;3;3;0;3;2;41;24.8;12
